Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"South Carolina and East Coast Flooding (October 2015)","Flooding",20151001,20151005,2337.9,25
"Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3542.7,12
"Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2295.5,50
"Western Drought (2015)","Drought",20150101,20151231,5225.4,0
"Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1196.3,10
"Texas and Louisiana Flooding (March 2016)","Flooding",20160308,20160312,2639.0,5
"Southern Severe Weather (March 2016)","Severe Storm",20160317,20160318,1391.8,1
"North Texas Hail Storm (March 2016)","Severe Storm",20160323,20160324,2374.5,0
"North/Central Texas Hail Storm (April 2016)","Severe Storm",20160410,20160412,4023.4,0
"Houston Flooding (April 2016)","Flooding",20160417,20160418,3077.4,8
"South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2753.8,6
"Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1977.6,2
"Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1318.3,0
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)","Flooding",20160622,20160624,1114.1,23
"Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1685.6,0
"Louisiana Flooding (August 2016)","Flooding",20160812,20160815,11500.0,13
"Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,11500.0,49
"West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3960.2,0
"Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2754.5,21
"Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1248.8,24
"California Flooding (February 2017)","Flooding",20170208,20170222,1695.0,5
"Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,2040.9,6
