Ship To Country,Item ID,Amount
CHL,854-615,3.5
CHL,sublined item,0.0
DEU,No Item ID,2230.3
DEU,3MBLK,615.0
DEU,3MJW,615.0
DEU,NSLSAMPLE,405.0
DEU,BenchRoller-T,359.0
DEU,3MNG,279.0
DEU,2MBLK,270.0
DEU,sublined item,245.0
DEU,3MOG,240.0
DEU,3MG,201.25
DEU,3MPU,201.25
DEU,3MTBLK,195.0
DEU,854-306-XL,185.0
DEU,2MNG,180.0
DEU,ttweezerb,179.7
DEU,3MP,166.25
DEU,3MB,157.5
DEU,2MOG,150.0
DEU,850-530B,150.0
DEU,CreationStation,149.0
DEU,BB-SP-CFL-UV,141.9
DEU,3MLB,140.0
DEU,3FJG,120.0
DEU,3FOG,120.0
DEU,GG-T-BlueSatin4,120.0
DEU,ns152,117.0
DEU,2MB,105.0
DEU,2MG,105.0
DEU,2MPU,105.0
DEU,850-530B-Sm-3,95.0
DEU,2MJG,90.0
DEU,gold,89.0
DEU,Handling and-or cod fee,88.93
DEU,ds3-1/16,88.66
DEU,2MP,87.5
DEU,ACT-NGTC51,84.48
DEU,GG-T-BlueCheese-B,80.0
DEU,ABR INSURANCE,61.7
DEU,3FJW,60.0
DEU,nsf45F,54.0
DEU,07630600FS,52.650000000000006
DEU,S123,45.0
DEU,ons152,45.0
DEU,s388,45.0
DEU,jc-diff38,44.5
DEU,BB-17-M-MellowYellow,44.0
DEU,ACT-JBTC50,42.24
DEU,ACT-PUTC50,42.24
DEU,Opal Dust White,40.0
DEU,buildingblocks,40.0
DEU,gor8w,40.0
DEU,AR-NeonGreen,39.95
DEU,VORTEXMOLD2,39.95
DEU,3FLB,35.0
DEU,3FP,35.0
DEU,3FPU,35.0
DEU,3MY,35.0
DEU,Dvd171,35.0
DEU,silver,35.0
DEU,S141,30.0
DEU,S40,30.0
DEU,S66,30.0
DEU,dvd194,30.0
DEU,BK188,25.0
DEU,BK189,25.0
DEU,BK190,25.0
DEU,CBS4006,25.0
DEU,dvd159,24.95
DEU,gofh5w,23.9
DEU,S39,22.5
DEU,BK117,21.0
DEU,bk86,21.0
DEU,GOro4,20.0
DEU,gor6w,19.58
DEU,nsf139s,17.5
DEU,mb141,17.38
DEU,TAG-033-R-1-072,17.28
DEU,GOMarble12mm,17.0
DEU,god7b,16.54
DEU,god7w,16.54
DEU,ACT-JBTC,15.36
DEU,GG-R-ELGRPO,15.0
DEU,GLOyg1lb,15.0
DEU,S182,15.0
DEU,S62,15.0
DEU,TAG-033-F-M-017,14.4
DEU,TAG-033-F-P-041,14.4
DEU,GOS3B,14.0
DEU,GOS3O,14.0
DEU,MB012,13.66
DEU,NSF13FF4OZ,13.5
DEU,nsf14s,13.5
DEU,NCWHITE,12.96
DEU,TAG-033-F-P-021,12.6
DEU,BB-18-T-LemonParty,12.0
DEU,BB-19-T-SourPuss,12.0
DEU,ACT-BLTCT12,11.52
DEU,ACT-PTC12,11.52
DEU,ACT-PUTC12,11.52
DEU,ACT-WTC12,11.52
DEU,GlassLine-vol21-6,10.0
DEU,Glassline-vol28-1,10.0
DEU,Glassline-vol28-2,10.0
DEU,glassline-vol21-2,10.0
DEU,glassline-vol22-6,10.0
DEU,glassline-vol27-1,10.0
DEU,glassline-vol27-2,10.0
DEU,glassline-vol27-3,10.0
DEU,glassline-vol27-4,10.0
DEU,glassline-vol27-6,10.0
DEU,glassline-vol28-3,10.0
DEU,TAG-033-R-1-010,9.72
DEU,MB155,9.32
DEU,MB023,8.69
DEU,MB074,8.69
DEU,MB075,8.69
DEU,MB078,8.69
